SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,FOURS,SIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
37,Matt Henry,New Zealand,8,22,40,6,3.7,55,5,0,0,1,0,62.5,20,181,814,35,4.5,23.3,31,0,93,13,64.6,11,0
38,Tim Southee,New Zealand,8,44,61,5,8.8,72.1,15,0,0,3,0,54.1,14,121.4,654,24,5.38,27.2,30.4,0,65,21,60.3,4,0
39,Ish Sodhi,New Zealand,10,99,149,8,12.4,66.4,25,0,0,4,3,55,14,123.1,663,16,5.38,41.4,46.2,0,42,16,46.7,3,0
40,Lockie Fergusion,New Zealand,10,35,72,6,5.8,48.6,8,0,0,2,0,62.5,17,148.5,920,18,6.18,51.1,49.6,0,101,20,57.2,2,0
41,Daryl Mitchell,New Zealand,22,829,923,19,43.6,89.8,129,2,3,66,14,46.8,10,38,213,11,5.61,19.4,20.7,0,18,6,54.4,7,0
42,Michael Bracewell,New Zealand,16,510,430,12,42.5,118.6,140,0,2,45,24,45.3,19,123,634,15,5.15,42.3,49.2,0,49,18,52,9,0
43,Devon Conway,New Zealand,17,733,847,16,45.8,86.5,138,3,3,83,11,54.5,0,0,0,0,0,0,0,0,0,0,0,9,0
44,Glenn Phillips,New Zealand,12,351,387,11,31.9,90.7,63,1,0,26,14,53.5,6,20,131,5,6.55,26.2,24,0,10,4,42.5,5,0
45,Finn Allen,New Zealand,17,533,561,17,31.4,95,96,5,0,69,14,59.5,0,0,0,0,0,0,0,0,0,0,0,6,0
46,Will Young,New Zealand,15,592,653,12,49.3,90.7,120,3,2,55,12,50.8,0,0,0,0,0,0,0,0,0,0,0,3,0
47,Darren Bravo,West Indies,12,270,389,11,24.5,69.4,102,0,1,17,9,59.4,0,0,0,0,0,0,0,0,0,0,0,5,0
