SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
69,Shamima Sultana,BANGLADESH,7,157,269,7,22.4,58.4,52,1,0,17,0,66.5,0,0,0,0,0,0,0,0,0,0,0,1,3
70,Lata Mondal,BANGLADESH,10,176,291,8,22,60.5,33,0,0,16,0,62.2,7,20,110,1,5.5,110,120,0,9,1,55.8,3,0
71,Fargana Hoque,BANGLADESH,19,596,1018,15,39.7,58.5,77,6,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,11,0
72,Ritu Moni,BANGLADESH,15,202,325,15,13.5,62.2,33,0,0,20,1,62.5,17,164.3,688,28,4.18,24.6,35.2,1,25,2,47.9,1,0
73,Nuzhat Tasnia,BANGLADESH,1,10,24,1,10,41.7,10,0,0,0,0,70.8,0,0,0,0,0,0,0,0,0,0,0,1,1
74,Salma Khatun,BANGLADESH,9,115,143,5,23,80.4,32,0,0,9,0,51,14,204.2,780,34,3.82,22.9,36.1,1,20,4,52.4,2,0
75,Sobhana Mostary,BANGLADESH,3,25,38,3,8.3,65.8,13,0,0,1,1,57.9,0,0,0,0,0,0,0,0,0,0,0,1,0
76,Inoka Ranaweera,SRI LANKA,9,47,159,7,6.7,29.6,12,0,0,3,0,77.4,13,108.4,512,12,4.71,42.7,54.3,0,38,4,50.3,0,0
77,Sugandika Kumari,SRI LANKA,4,17,48,3,5.7,35.4,10,0,0,1,0,70.8,7,50,296,6,5.92,49.3,50,0,27,3,52,1,0
78,Inoshi Priyadharshani,SRI LANKA,0,0,0,0,0,0,0,0,0,0,0,0,1,7,28,0,4,0,0,0,2,0,57.1,0,0
79,Chamari Athapaththu,SRI LANKA,15,815,762,13,62.7,107,140,1,5,94,27,52.2,11,43.3,234,7,5.38,33.4,37.3,0,17,3,45.6,1,0
80,Oshadi Ranasinghe,SRI LANKA,11,88,170,10,8.8,51.8,23,0,0,5,0,61.2,13,97.5,513,20,5.24,25.6,29.4,1,32,10,47.2,4,0
81,Harshitha Samarawickrama,SRI LANKA,13,312,480,11,28.4,65,75,1,0,21,2,56,1,1,10,0,10,0,0,0,1,0,83.3,5,0
82,Nilakshi de Silva,SRI LANKA,14,307,473,11,27.9,64.9,48,0,0,25,1,56.7,2,11,59,0,5.36,0,0,0,2,0,59.1,4,0
83,Kavisha Dilhari,SRI LANKA,9,245,309,8,30.6,79.3,84,1,0,23,2,52.1,10,61,305,4,5,76.2,91.5,0,20,2,47.3,2,4
84,Anushka Sanjeewani,SRI LANKA,10,157,270,10,15.7,58.1,36,0,0,11,0,58.5,0,0,0,0,0,0,0,0,0,0,0,6,2
85,Achini Kulasuriya,SRI LANKA,6,17,39,4,4.2,43.6,12,0,0,2,0,76.9,9,56,291,5,5.2,58.2,67.2,0,32,0,55.4,1,0
